idna_subject,checker_type,destination,tested_at
"24wspolnota.pl,kociewiak.pl,cooltura24.co.uk,halogorlice.info,dziennikpowiatowy.pl,tczewska.pl,wejherowo24.info,koscierzyna24.info,tvsudecka.pl,nasztomaszow.pl,www.sandomierztv.pl,korso24.pl,boleslawiec.tv,tarnowska.tv,olesnica24.com,sejny.info,lokalna.news,bp24.pl",AVAILABILITY,origin.list,2023-03-04 05:21:06.475032
"auto-motor-i-sport.pl,menshealth.pl,womenshealth.pl,runners-world.pl",AVAILABILITY,origin.list,2023-03-04 05:21:06.897163
"auto-motor-i-sport.pl,menshealth.pl,womenshealth.pl,runners-world.pl,motocykl-online.pl",AVAILABILITY,origin.list,2023-03-04 05:21:07.315753
"300polityka.pl,meczyki.pl,pepsieliot.com,gazeta-wiesci.pl,ino-24.pl",AVAILABILITY,origin.list,2023-03-04 05:21:07.744376
"24pr.pl,tu.swinoujscie.pl",AVAILABILITY,origin.list,2023-03-04 05:21:08.096656
"24legnica.pl,premierywtv.pl,motohigh.pl",AVAILABILITY,origin.list,2023-03-04 05:21:08.131409
"auto-przeglad.pl,janwedzi.pl",AVAILABILITY,origin.list,2023-03-04 05:21:08.180201
"bbfan.pl,nowinynyskie.com.pl",AVAILABILITY,origin.list,2023-03-04 05:21:08.527582
"auto-swiat.pl,biala24.pl,trodatreleases.com,imagazine.pl",AVAILABILITY,origin.list,2023-03-04 05:21:08.562334
"bielsko.info,czecho.pl,pless.pl",AVAILABILITY,origin.list,2023-03-04 05:21:08.605800
"bitcoin.pl,zd24.pl",AVAILABILITY,origin.list,2023-03-04 05:21:08.980359
"bielsko.info,czecho.pl,pless.pl,tychy.info",AVAILABILITY,origin.list,2023-03-04 05:21:08.989207
"biznesnafali.pl,biznestuba.pl",AVAILABILITY,origin.list,2023-03-04 05:21:09.046084
"binary24.pl,my3miasto.pl",AVAILABILITY,origin.list,2023-03-04 05:21:09.072762
"bezuzyteczna.pl,zumi.pl",AVAILABILITY,origin.list,2023-03-04 05:21:09.406917
